annee;etab_uai;etab_nom;tc;tf;nm;fl;app;int;amg;aut;region;departement;commune;fiche;dataviz;etab_url;etab_gps;nmc;gta;gti;etablissement_id_paysage;composante_id_paysage;rnd;code_formation
2024;0350795Z;Lycée / Pôle Sup de La Salle - Groupe Saint Jean (Rennes - 35);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Négociation et digitalisation de la Relation Client;BTS - Négociation et digitalisation de la Relation Client;;;Enseignement en présentiel;Des épreuves de sélection sont mises en place pour candidater à cette formation;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4691;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4691;http://www.polesup-delasalle.com;48.1251, -1.66834;BTS-NDRC;4691;4691;;;21476;10418
2024;0350795Z;Lycée / Pôle Sup de La Salle - Groupe Saint Jean (Rennes - 35);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Assurance;BTS - Assurance;;;Enseignement en présentiel;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4692;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4692;http://www.polesup-delasalle.com;48.1251, -1.66834;BTS-ASS;4692;4692;;;23994;443
2024;0350797B;Lycée Jeanne d'Arc (Rennes - 35);Privés sous contrat;BTS - BTSA - BTSM;BTS - Services - Gestion de la PME (Statut d'apprenti possible sur tout ou partie des années, au-delà de la première);BTS - Gestion de la PME;;;Enseignement en présentiel;Des épreuves de sélection sont mises en place pour candidater à cette formation;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4697;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4697;http://www.lycee-ja-rennes.org;48.1194, -1.65369;BTS-GPME;4697;4697;6QONs;;29541;10421
2024;0221852U;UFR Sciences Sociales - Université de Rennes 2 - Site de Saint-Brieuc (22);Publics;Licence;Licence - Histoire - Parcours Antenne universitaire de la ville de Saint Brieuc - Histoire;L1 - Histoire;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Côtes-d'Armor;Saint-Brieuc;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4733;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4733;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.5134, -2.7417;L1-Histoire;4733;4733;ti37C;;7868;2010
2024;0350937D;Université de Rennes 2 (35);Publics;Licence;Licence - Sociologie;L1 - Sociologie;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4735;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4735;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-Sociologie;4735;4735;ti37C;;5017;2013
2024;0350937D;Université de Rennes 2 (35);Publics;Formations d'art, de design et du spectacle vivant,Licence;Licence - Musicologie - Parcours Musique;L1 - Musicologie;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4739;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4739;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-Musicologie;4739;4739;ti37C;;14737;2027
2024;0350937D;Université de Rennes 2 (35);Publics;Licence;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Italien - confirmé;L1 - Langues, littératures et civilisations étrangères et régionales;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4741;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4741;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-LLCER;4741;4741;ti37C;;22514;2029
2024;0350937D;Université de Rennes 2 (35);Publics;Formations d'art, de design et du spectacle vivant,Licence;Licence - Arts du spectacle - Parcours Théâtre;L1 - Arts du spectacle;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4742;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4742;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-AS;4742;4742;ti37C;;173;2026
2024;0350937D;Université de Rennes 2 (35);Publics;Licence;Licence - Information et communication;L1 - Information et communication;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4743;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4743;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-IC;4743;4743;ti37C;;740;2023
2024;0350937D;Université de Rennes 2 (35);Publics;Licence;Licence - Langues étrangères appliquées - Parcours Anglais et Allemand (niveau B1/B2 attendu pour les 2 langues) - confirmé;L1 - Langues étrangères appliquées;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4747;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4747;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-LEA;4747;4747;ti37C;;22226;2030
2024;0350937D;Université de Rennes 2 (35);Publics;Licence;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours  Allemand - confirmé;L1 - Langues, littératures et civilisations étrangères et régionales;;;Enseignement en présentiel,Formations avec aménagements pour sportifs haut niveau,Formations avec aménagements pour autres publics spécifiques;;Bretagne;Ille-et-Vilaine;Rennes;https://dossier.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=4750;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=4750;https://www.univ-rennes2.fr/index.php/formation/inscriptions-candidatures/licence-1;48.12162, -1.70445;L1-LLCER;4750;4750;ti37C;;4079;2029
